Term,Average_Polarity
αβαφτιστ,0.0
χριστ,-0.25
αβαπτιστ,0.0
αβεβαιοτητ,-0.5
αγαμητ,-1.0
αγανακτης,-1.0
αγανακτω,-1.0
αγαπ,1.0
αγγελ,0.5
αγελ,-0.75
αγευσι,-0.25
αγκουσευ,-1.0
αγορευ,-0.75
αγριεμ,-1.0
αγριευ,-1.0
αγροτοπατερ,-1.0
αγχ,-1.0
αγωνι,-0.5
αδειαζ,-0.75
αδειασμ,-0.75
αδελφατ,-0.75
αδελφ,0.625
αδελφοσυν,1.0
αδελφουλ,1.0
αδερφ,1.0
αδερφουλ,1.0
αδιαθετ,-0.25
αδιαφορι,-1.0
αερ,0.0
αεροβατω,-0.75
αηδι,-1.0
αηδιαζ,-1.0
αθλ,1.0
αιδημοσυν,-0.75
αιδως,-0.75
αιμ,-0.5
αιρεσιαρχ,-0.5
αισθαν,0.0
αισθαντικοτητ,0.75
αισθημ,0.0
αισθηματι,0.25
αισθηματικοτητ,0.5
αισθηματισμ,-0.5
αισθηματολογι,-0.5
αισθηματολογ,-0.5
αισθης,0.0
αιωνι,0.0
ακαδημαικ,0.0
ακαλαισθησι,-1.0
ακαπν,-0.25
ακηδεμονευτ,-0.5
ακουω,0.25
αλεπ,-0.25
αλευρων,-0.5
αλητακ,-0.75
αληταμπουρ,-1.0
αληταρ,-1.0
αληταρι,-1.0
αλητ,-0.75
αλητοπαρε,-0.75
αλητοτουριστ,-1.0
αλιευ,-0.5
αλλ,0.0
αλλαξοκωλι,-0.75
αλλαχ,-0.5
αλληθωριζ,-0.5
αλλοπιστ,-0.75
αλογ,-1.0
αλογομουρ,-1.0
αλυσιδ,-0.5
αλυτρωτ,-0.75
αμαν,-0.75
αμιμητ,0.5
αμοιβαιοτητ,0.5
αμοιβ,0.0
αμφιθυμι,-0.5
αναβ,-0.25
αναγαλλιαζ,1.0
αναθεμ,-1.0
αναισθησι,-1.0
αναισχυντι,-1.0
ανακατεμ,-1.0
ανακατευ,-0.75
ανακραζ,-0.5
αναλαμβανω,0.0
αναλγησι,-0.75
αναλιγων,-0.5
αναμμ,-0.5
αναπηδ,-0.5
αναπλαθ,0.5
αναπλας,0.5
αναπτερων,1.0
αναριγ,-1.0
αναρριπιζ,0.75
ανασκιρτω,-0.25
αναστατων,-0.75
αναστατως,-0.75
αναστεναγμ,-0.5
ανασφαλει,-1.0
ανατριχιαζ,-0.75
ανατριχιλ,-0.75
ανδραγαθημ,0.75
ανδρεικελο,-1.0
ανεκδιηγητ,-1.0
ανεκδοτολογι,-0.75
ανελεημον,-1.0
ανεμιζ,0.0
ανες,0.5
ανευθυνολογ,-1.0
ανθρωπακ,-0.75
ανθρωπι,1.0
ανθρωπ,0.5
ανθρωποφοβι,-1.0
ανι,-1.0
ανοι,-0.75
ανοιγ,0.0
ανορθων,0.25
ανταποκριν,0.5
αντ,-0.5
αντιγραφε,-0.5
αντιπαθει,-1.0
αντιπαθ,-1.0
αντιστεκ,-0.25
αντιχριστ,-1.0
ανυπομονησι,0.25
ανυπομον,0.25
ανωτεροτητ,1.0
αξι,0.5
απαγγελλ,0.0
απαλυν,0.75
απανθρωπι,-1.0
απανθρωποποιης,-0.75
απαξαπαντ,-0.25
απελπισι,-1.0
απεχθανομα,-1.0
απεχθει,-1.0
απηδηχτ,-0.75
απογοητευς,-1.0
απογοητευ,-1.0
αποδοκιμασι,-1.0
αποδ,-0.5
αποζητω,0.0
αποζουρλαιν,-0.5
απολαυς,1.0
απολειφαδ,-1.0
αποναρκως,-0.5
αποπνε,0.0
απορφανιζ,-0.75
αποσβολων,0.0
αποσκατ,-1.0
αποστασιοποι,-0.5
αποστερης,-0.75
αποστολ,0.0
αποστρεφ,-1.0
αποστροφ,-1.0
αποτροπιασμ,-1.0
αποτυφλων,-0.5
αποφοιτ,0.0
αποφορτιζ,0.0
αποφορτις,0.0
αποχαιρετισμ,-1.0
αποχρως,0.0
αποχωρισμ,-1.0
απροικιστ,-0.75
απωθης,-0.75
απωθω,-0.75
αραμπ,-0.5
αραπακλ,-1.0
αραπ,-1.0
αραπι,-0.75
αρβανιτ,-0.75
αρβανιτικ,-0.75
αρβυλ,-0.75
αρειμανιος,-1.0
αρεσκ,1.0
αρες,1.0
αριστοκρατ,-0.5
αριστοκρατι,-0.5
αριστοκρατισς,-0.5
αρμονι,1.0
αρναουτ,-0.75
αρναουτικ,-0.75
αρρωστ,-1.0
αρρωστοφαγι,-0.75
αρχαι,-0.25
αρχιδατ,1.0
αρχιδ,-0.75
αρχικλεφταρ,-1.0
αρχικλεφτ,-1.0
αρχιμασον,-0.75
αρχιμαφιοζ,-1.0
αρχιτεκτον,0.25
αρχιτεμπελ,-1.0
αρχιψευτ,-1.0
αρχιψευτρ,-1.0
αρχομαν,-1.0
αρχοντανθρωπ,1.0
αρχον,0.5
ασακι,0.25
ασκερ,-0.75
ασμ,0.0
ας,0.75
ασπιδ,-0.25
ασπονδ,-0.75
ασπονδυλ,-0.5
ασπρουλιαρ,-0.75
ασσακι,0.25
ασς,0.75
ασταθει,-0.75
αστοιχειωτ,-1.0
αστραφτ,0.5
ασφαλει,1.0
ασφαλιτ,-1.0
ασφυκτιω,-1.0
ασφυξι,-0.75
αυθαδομουτρ,-1.0
αυλ,-0.75
αυριανισμ,-1.0
αυταπατ,-0.75
αυτ,-0.1875
αυτοικανοποιης,-0.5
αυτοικανοποι,-0.75
αυτοκυριαρχι,0.75
αυτοκυριαρχ,0.75
αυτοσεβασμ,0.75
