political_party,sitting_year,keyword,score
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,αγροτ,1.3597520256720825
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,ευχαριστουμ,5.62184256150564
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,εχετ,4.378079175913059
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,κυβερνης,4.90622829747631
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,νοσοκομει,7.184554277989692
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,οποι,10.525477044151696
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,πανεπιστημι,0.5847881399008295
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,στ,5.6457620746947486
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,υγει,6.25712261285698
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2023,υπουργ,4.101758229132664
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,αγροτ,5.0626009069955975
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,ευχαριστουμ,2.412186540637695
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,εχετ,2.820901694055171
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,κυβερνης,1.9105942750979392
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,νοσοκομει,0.38307756980038393
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,οποι,3.6579155633100915
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,πανεπιστημι,8.926756959154696
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,στ,2.01387753361211
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,υγει,0.23883307973520398
ΠΑΣΟΚ-ΚΙΝΗΜΑΑΛΛΑΓΗΣ,2024,υπουργ,2.475122888039989
ΠΛΕΥΣΗΕΛΕΥΘΕΡΙΑΣ-ΖΩΗΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2023,ανθρωπ,2.388736861830124
ΠΛΕΥΣΗΕΛΕΥΘΕΡΙΑΣ-ΖΩΗΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2023,βουλ,2.275811312410776
ΠΛΕΥΣΗΕΛΕΥΘΕΡΙΑΣ-ΖΩΗΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2023,γαζ,2.459560030041563
ΠΛΕΥΣΗΕΛΕΥΘΕΡΙΑΣ-ΖΩΗΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2023,ελευθερι,3.1056017641227225
ΠΛΕΥΣΗΕΛΕΥΘΕΡΙΑΣ-ΖΩΗΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2023,εξεταστικ,1.378525215948152
ΠΛΕΥΣΗΕΛΕΥΘΕΡΙΑΣ-ΖΩΗΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2023,ισραηλ,2.3900686009221497
