sitting_year,keyword,score
1989,οποι,22.79798939619817
1989,κοσκωτ,22.23124781450334
1989,προεδρ,17.43636811106684
1989,κυβερνης,14.04724155563673
1989,υπουργ,13.882863457213398
1989,τσοβολ,13.660982795341047
1989,καθαρς,13.077587167122386
1989,κανονισμ,12.196854339557342
1989,τροπολογι,11.874939668719973
1989,πασοκ,11.410908251207042
1990,αρθρ,84.02928228613501
1990,οποι,79.8382323889914
1990,υπουργ,73.30503998829431
1990,προεδρ,62.34350107060192
1990,συναδελφ,45.35111335589986
1990,τροπολογι,38.779164625933234
1990,κυβερνης,37.56994276093157
1990,νομοσχεδι,36.61315732125687
1990,εκλογικ,30.015080914205235
1990,αυτοδιοικης,29.246939774157923
1991,αρθρ,100.61896344568979
1991,οποι,93.96471000787855
1991,υπουργ,93.66395856965748
1991,προεδρ,62.64926370664159
1991,τροπολογι,61.07130530198908
1991,γεννηματ,49.426844398151744
1991,παρακαλ,41.54903671268429
1991,δεκτ,40.25239796826288
1991,συναδελφ,39.70472309527033
1991,νομοσχεδι,37.44811518467039
1992,αρθρ,120.98157228551017
1992,τροπολογι,102.25991481054646
1992,υπουργ,94.8807489235425
1992,οποι,94.33227194306404
1992,προεδρ,60.55729143924127
1992,παρακαλ,58.703714390620796
1992,συναδελφ,52.61519797123216
1992,νομοσχεδι,43.644504890895234
1992,δεκτ,37.768577727487504
1992,υγει,33.450617931774524
1993,αρθρ,95.16145204087022
1993,οποι,77.33448956414527
1993,υπουργ,75.62030106780094
1993,τροπολογι,67.85915553915613
1993,προεδρ,56.05477953453405
1993,συναδελφ,43.693657028147896
1993,παρακαλ,39.97037019596526
1993,νομοσχεδι,36.89364858093274
1993,εργ,33.87497298475306
1993,δεκτ,30.46831088692067
1994,υπουργ,53.26398640967125
1994,οποι,50.4589167197523
1994,αρθρ,46.58187342247632
1994,τροπολογι,44.50582938247445
1994,εργ,30.81300165694529
1994,νομοσχεδι,27.685200835953548
1994,προεδρ,27.04323852090762
1994,αυτοδιοικης,25.15392323243148
1994,σουφλι,24.13516632509121
1994,περιοχ,23.345466506914146
1996,οποι,23.53464971737083
1996,προεδρ,20.799847669018657
1996,εργ,17.960478046301684
1996,αγροτ,17.228602963290452
1996,αρθρ,16.289519891798093
1996,ενοπλ,14.487836418484745
1996,βουλευτ,14.479840637192224
1996,υπουργ,14.320734915183678
1996,αγροτικ,14.090741350919846
1996,προυπολογισμ,13.570239175423183
1997,αρθρ,135.1458687153085
1997,οποι,93.69187417141187
1997,υπουργ,82.04143501039982
1997,τροπολογι,78.25142293642006
1997,προεδρ,70.67271404174608
1997,αγροτ,68.74064072156163
1997,αγροτικ,51.637863512641516
1997,νομοσχεδι,50.22673346390647
1997,αυτοδιοικης,45.6765813191848
1997,νοσοκομει,44.389798666840505
1998,οποι,38.248966078874865
1998,αρθρ,36.782888949779746
1998,νοσοκομει,36.471851927718966
1998,υπουργ,36.29702772301692
1998,πολιτικ,33.966680224682584
1998,δραχμ,31.38201934283692
1998,προεδρ,29.496902379432502
1998,µε,23.12960735812582
1998,κτηματολογι,22.20747033451217
1998,αγροτ,21.02879960619459
1999,αρθρ,92.93617724518974
1999,οποι,69.1981247468327
1999,υπουργ,67.04407833463434
1999,τροπολογι,61.432377784600824
1999,προεδρ,47.881596830043954
1999,νοσοκομει,38.98260071521546
1999,πολιτικ,38.56041813427603
1999,δραχμ,37.37238355747093
1999,επικαιρ,35.209634786012465
1999,ερωτης,34.376302162627056
2000,αρθρ,65.03496089864915
2000,οποι,55.825897034744
2000,υπουργ,54.610366770195334
2000,ολυμπιακ,41.70929333995249
2000,επικαιρ,36.342807137085906
2000,τροπολογι,35.34399382963328
2000,ερωτης,32.71896097964726
2000,πολιτικ,31.100502000915142
2000,εργ,28.962532241428764
2000,δραχμ,28.941780982491853
2001,αρθρ,106.18035962862716
2001,οποι,93.28589669923011
2001,υπουργ,60.306643550528726
2001,βουλευτ,51.51531272166295
2001,εργ,50.03220282967226
2001,υγει,48.265071463865446
2001,νοσοκομει,46.84608174374927
